model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,tuned_folds,mean_inner_best,best_params_fold0,target,block,chance,degenerate,permuted_score,gap_vs_permuted
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4853888888888888,0.1305408502356519,25,False,20,14.3,25,0.5593362193362194,"{'n_components': 2.0, 'keep_x': 16.0}",tox_infertility,expression,0.5,False,0.4694444444444444,0.015944444444444428
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4468333333333333,0.1183851738298172,25,False,20,0.4,25,0.4906565656565657,"{'n_components': 1.0, 'keep_x': 149.0}",tox_infertility,morphology,0.5,False,0.4353888888888888,0.01144444444444448
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4742777777777778,0.0633761064139911,25,False,20,511.1,25,0.5304834054834056,"{'max_depth': 4.0, 'n_estimators': 200.0, 'learning_rate': 0.1477317633429356, 'subsample': 0.7644474598764522, 'colsample_bytree': 0.6112401049845391, 'min_child_weight': 6.0, 'reg_alpha': 0.0019237305096546497, 'reg_lambda': 0.0023699857324257566}",tox_infertility,expression,0.5,False,0.4646111111111111,0.009666666666666712
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4092777777777778,0.1247613276976839,25,False,20,14.5,25,0.4627597402597403,{'C': 0.0694535625742477},tox_infertility,expression,0.5,False,0.4033333333333332,0.005944444444444585
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.3867222222222222,0.126739184894232,25,False,20,14.3,25,0.4598773448773448,{'C': 0.0694535625742477},tox_infertility,morphology+expression,0.5,False,0.3818888888888889,0.004833333333333301
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.4621111111111111,0.0650018043434275,25,False,20,314.3,25,0.5205880230880231,"{'C': 0.034828020870283326, 'l1_ratio': 0.6458941130666561}",tox_infertility,expression,0.5,False,0.4625,-0.0003888888888889386
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4591666666666667,0.0832925826288731,25,False,20,555.1,25,0.5224170274170274,"{'max_depth': 4.0, 'n_estimators': 250.0, 'learning_rate': 0.12358960550136179, 'subsample': 0.5195938961271603, 'colsample_bytree': 0.3545262663187686, 'min_child_weight': 1.0, 'reg_alpha': 0.015295398277813725, 'reg_lambda': 0.003240794406053531}",tox_infertility,morphology+expression,0.5,False,0.4682222222222222,-0.009055555555555483
elastic_net,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4647222222222222,0.0761212483111282,25,False,20,7.4,25,0.5079689754689756,"{'C': 0.034828020870283326, 'l1_ratio': 0.6458941130666561}",tox_infertility,morphology,0.5,False,0.4874444444444444,-0.0227222222222222
linear_svm,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.4594444444444444,0.1140500215142785,25,False,20,0.5,25,0.47001443001443,{'C': 1.3878460745854545e-05},tox_infertility,morphology,0.5,False,0.4832222222222222,-0.023777777777777842
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4379999999999999,0.0929305794267559,25,False,20,325.5,25,0.519512987012987,"{'C': 0.034828020870283326, 'l1_ratio': 0.6458941130666561}",tox_infertility,morphology+expression,0.5,False,0.4671111111111111,-0.0291111111111112
