model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,tuned_folds,mean_inner_best,best_params_fold0,target,block,chance,degenerate
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5159523809523809,0.1391072320027425,25,True,20,571.5,25,0.6042592592592593,"{'max_depth': 2.0, 'n_estimators': 100.0, 'learning_rate': 0.06522651620346191, 'subsample': 0.7269123871420201, 'colsample_bytree': 0.275933321051303, 'min_child_weight': 3.0, 'reg_alpha': 0.0037296504706032995, 'reg_lambda': 0.007496842719865075}",tox_cardiotoxicity,expression,0.5,
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5071428571428571,0.0650364018076853,25,False,20,320.4,25,0.5745370370370371,"{'C': 5.627949975223147, 'l1_ratio': 0.5288949197529045}",tox_cardiotoxicity,morphology+expression,0.5,False
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5473809523809524,0.1455863311530107,25,True,20,326.9,25,0.594,"{'C': 3.6563777858974738, 'l1_ratio': 0.99391921763983}",tox_cardiotoxicity,morphology+expression,0.5,
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5545238095238095,0.0963025337389165,25,False,20,13.3,25,0.5921851851851853,"{'n_components': 2.0, 'keep_x': 91.0}",tox_cardiotoxicity,morphology+expression,0.5,False
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4882142857142857,0.0937588998043226,25,True,20,13.3,25,0.6298888888888889,"{'n_components': 3.0, 'keep_x': 8.0}",tox_cardiotoxicity,morphology+expression,0.5,
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5477380952380951,0.104204006912831,25,False,20,20.0,25,0.5598148148148148,{'C': 1.5006703952829317e-05},tox_cardiotoxicity,morphology+expression,0.5,False
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5344047619047619,0.1207118202058728,25,True,20,19.4,25,0.5787037037037037,{'C': 2.8280842728576074e-05},tox_cardiotoxicity,morphology+expression,0.5,
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.545952380952381,0.1132739190000221,25,False,20,463.1,25,0.5823703703703703,"{'max_depth': 3.0, 'n_estimators': 50.0, 'learning_rate': 0.035504155773912305, 'subsample': 0.6552551230259499, 'colsample_bytree': 0.12495042392317174, 'min_child_weight': 2.0, 'reg_alpha': 0.7262934708242144, 'reg_lambda': 0.05495816702873804}",tox_cardiotoxicity,morphology+expression,0.5,False
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4991666666666666,0.1428857114291427,25,True,20,527.1,25,0.5938518518518519,"{'max_depth': 4.0, 'n_estimators': 200.0, 'learning_rate': 0.1477317633429356, 'subsample': 0.7644474598764522, 'colsample_bytree': 0.6112401049845391, 'min_child_weight': 6.0, 'reg_alpha': 0.0019237305096546497, 'reg_lambda': 0.0023699857324257566}",tox_cardiotoxicity,morphology+expression,0.5,
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4652380952380952,0.0833321428486393,25,False,20,9.4,25,0.5294814814814814,"{'C': 0.49192475175920786, 'l1_ratio': 0.5150110376051357}",tox_cardiotoxicity,morphology+ecfp,0.5,False
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4585714285714286,0.0716856484907996,25,True,20,9.4,25,0.5278888888888889,"{'C': 0.1808089109751104, 'l1_ratio': 0.9713680994357693}",tox_cardiotoxicity,morphology+ecfp,0.5,
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4004761904761904,0.1286983500520595,25,False,20,0.4,25,0.528537037037037,"{'n_components': 3.0, 'keep_x': 293.0}",tox_cardiotoxicity,morphology+ecfp,0.5,False
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4385714285714286,0.1198185750612367,25,True,20,0.4,25,0.540074074074074,"{'n_components': 1.0, 'keep_x': 11.0}",tox_cardiotoxicity,morphology+ecfp,0.5,
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4695238095238095,0.0994039777556753,25,False,20,0.5,25,0.4946296296296296,{'C': 0.0694535625742477},tox_cardiotoxicity,morphology+ecfp,0.5,False
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4128571428571428,0.1108247017251644,25,True,20,0.5,25,0.4978148148148147,{'C': 0.16570805984346834},tox_cardiotoxicity,morphology+ecfp,0.5,
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4272619047619047,0.1033079571649998,25,False,20,6.3,25,0.529074074074074,"{'max_depth': 2.0, 'n_estimators': 350.0, 'learning_rate': 0.15982018746270682, 'subsample': 0.6535966745247906, 'colsample_bytree': 0.5560348904850134, 'min_child_weight': 4.0, 'reg_alpha': 0.5571456505972306, 'reg_lambda': 0.015343115969491299}",tox_cardiotoxicity,morphology+ecfp,0.5,False
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4884523809523809,0.1199853543594841,25,True,20,6.3,25,0.5552222222222222,"{'max_depth': 2.0, 'n_estimators': 150.0, 'learning_rate': 0.06954241509602922, 'subsample': 0.7193007567311602, 'colsample_bytree': 0.9895364542533036, 'min_child_weight': 1.0, 'reg_alpha': 0.006847105576684045, 'reg_lambda': 0.0049407977325260895}",tox_cardiotoxicity,morphology+ecfp,0.5,
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5792777777777778,0.0970314954595213,25,False,20,6.7,25,0.6075194805194806,"{'C': 4.4854535828666435, 'l1_ratio': 0.99391921763983}",tox_pulmonary_toxicity,ecfp,0.5,False
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.4877222222222221,0.0809250911051101,25,True,20,4.8,25,0.5423701298701298,"{'C': 4.665954567021848, 'l1_ratio': 0.8700121482468192}",tox_pulmonary_toxicity,ecfp,0.5,
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5603888888888889,0.117578526426143,25,False,20,0.3,25,0.6417965367965368,"{'n_components': 2.0, 'keep_x': 68.0}",tox_pulmonary_toxicity,ecfp,0.5,False
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5026666666666666,0.1124399153677253,25,True,20,0.3,25,0.5583809523809523,"{'n_components': 2.0, 'keep_x': 68.0}",tox_pulmonary_toxicity,ecfp,0.5,
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5497222222222222,0.1093287600669548,25,False,20,0.3,25,0.5771731601731601,{'C': 1.3878460745854545e-05},tox_pulmonary_toxicity,ecfp,0.5,False
linear_svm,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.4696666666666667,0.1047960099607981,25,True,20,0.3,25,0.5076904761904761,{'C': 0.004831596208381852},tox_pulmonary_toxicity,ecfp,0.5,
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6163333333333333,0.1063974322070176,25,False,20,2.7,25,0.664969696969697,"{'max_depth': 1.0, 'n_estimators': 300.0, 'learning_rate': 0.01628359108363256, 'subsample': 0.972334458524792, 'colsample_bytree': 0.5696634895750645, 'min_child_weight': 3.0, 'reg_alpha': 0.011434638743472197, 'reg_lambda': 2.13797351992414}",tox_pulmonary_toxicity,ecfp,0.5,False
