target,block,model,n,score_mean,permuted_score,gap_vs_permuted,se_gap,gap_lo,gap_hi,clears_zero,degenerate
tox_cardiotoxicity,morphology+expression,sparse_plsda,70,0.5545238095238095,0.4882142857142857,0.0663095238095238,0.02688115272606601,0.013623432591149856,0.11899561502789775,True,False
tox_pulmonary_toxicity,morphology,sparse_plsda,70,0.5276111111111111,0.4633888888888889,0.0642222222222222,0.03738399340577412,-0.009049058468572568,0.13749350291301696,False,False
tox_liver_toxicity,expression,sparse_plsda,70,0.5987272727272728,0.5361818181818182,0.0625454545454545,0.029496509575456298,0.004733358094352519,0.12035755099655648,True,False
tox_cardiotoxicity,expression,xgboost,70,0.5778571428571428,0.5159523809523809,0.0619047619047619,0.034007868904009385,-0.004749436353697907,0.1285589601632217,False,False
tox_renal_toxicity,morphology+expression,sparse_plsda,70,0.5496666666666666,0.488,0.0616666666666666,0.03228023130854752,-0.0016014241255559655,0.12493475745888916,False,False
tox_renal_toxicity,ecfp,elastic_net,70,0.6352777777777777,0.5762777777777778,0.0589999999999999,0.032875177321964606,-0.005434163551539473,0.12343416355153927,False,False
tox_pulmonary_toxicity,ecfp,sparse_plsda,70,0.5603888888888889,0.5026666666666666,0.0577222222222223,0.03253763632745589,-0.006050373136618908,0.12149481758106351,False,False
tox_cardiotoxicity,morphology+ecfp,linear_svm,70,0.4695238095238095,0.4128571428571428,0.0566666666666667,0.02977466393168692,-0.0016906023049181595,0.11502393563825156,False,False
tox_renal_toxicity,ecfp,sparse_plsda,70,0.6276111111111111,0.5718888888888889,0.0557222222222222,0.02789028327634136,0.0010582714691453332,0.11038617297529907,True,False
tox_cardiotoxicity,expression,sparse_plsda,70,0.5426190476190477,0.4871428571428571,0.0554761904761905,0.026076287870700578,0.00436760538712503,0.10658477556525597,True,False
tox_pulmonary_toxicity,ecfp,xgboost,70,0.6163333333333333,0.5627777777777778,0.0535555555555554,0.02811981419955123,-0.001558267540456612,0.10866937865156741,False,False
tox_renal_toxicity,expression,sparse_plsda,70,0.5505,0.499,0.0514999999999999,0.03340763940134605,-0.013977770050505316,0.11697777005050511,False,False
tox_cardiotoxicity,morphology+expression,xgboost,70,0.545952380952381,0.4991666666666666,0.0467857142857143,0.03646768830416088,-0.02468964140664675,0.11826106997807534,False,False
tox_renal_toxicity,expression,xgboost,70,0.5453888888888888,0.5003333333333333,0.0450555555555555,0.025893537970736534,-0.005694846311318086,0.09580595742242909,False,False
tox_infertility,morphology+ecfp,elastic_net,70,0.5262777777777778,0.4852222222222221,0.0410555555555557,0.0264307620999695,-0.010747786256487493,0.09285889736759889,False,False
tox_cardiotoxicity,expression,linear_svm,70,0.569047619047619,0.5286904761904762,0.0403571428571428,0.031914479685644905,-0.02219408792673533,0.10290837364102093,False,False
