pair,variant,n,p_a,p_b,rv_adj,rv_adj_p,mantel_r,mantel_p,protest_r,protest_p,rv_plain,rv2,rv_emp_adj,permutations
morphology~ecfp,observed,119,636,1024,0.02143590283315611,0.1898,0.08595914199561815,0.1474,0.4772901525409085,0.0968,0.23001982295904874,0.039640967517557954,0.021584127631272505,9999
morphology~ecfp,ctl_scrambled,119,636,1024,0.0002533757100745956,0.4547,-0.07369588183710896,0.8178,0.4588453877152795,0.6017,0.21335241605987224,0.009422885774793938,0.0003150758744105806,9999
morphology~ecfp,ctl_scrambled,119,636,1024,-0.013875801906438816,0.681,0.018697446702892057,0.4067,0.4583501031612888,0.617,0.20223491572023825,0.0065750245998179085,-0.014073918874723737,9999
morphology~ecfp,ctl_scrambled,119,636,1024,0.020923428663302327,0.2011,-0.07120011423790487,0.8093,0.46605504995665054,0.365,0.22961658422059988,0.020362825052846357,0.020658337591675006,9999
morphology~ecfp,ctl_scrambled,119,636,1024,-0.007047305901223195,0.5655,-0.049496047728550444,0.7167,0.4586071594500556,0.6006,0.20760789698762974,0.021644330488978555,-0.006800252185219887,9999
morphology~ecfp,ctl_scrambled,119,636,1024,-0.023093443087590464,0.8144,-0.09095254849998592,0.8706,0.4503833714204279,0.8435,0.19498204285364557,-0.0011878282883026597,-0.02348100566467538,9999
morphology~ecfp,ctl_scrambled,119,636,1024,0.006468992917833787,0.3733,-0.011641492740434592,0.5546,0.46503490799896563,0.4,0.21824315551363457,-0.006707068661881482,0.006256622569749303,9999
morphology~ecfp,ctl_scrambled,119,636,1024,-0.02733803709025259,0.8613,-0.048709942159385906,0.7156,0.4507176535864206,0.8339,0.19164219700083024,0.0034207788308214127,-0.027325740797949877,9999
morphology~ecfp,ctl_scrambled,119,636,1024,-0.02051915023682508,0.7917,-0.12009698381278598,0.9358,0.4517300508768249,0.8205,0.1970076173364274,0.020224311220931056,-0.02097005306318735,9999
morphology~ecfp,ctl_scrambled,119,636,1024,-0.0504177273545283,0.9877,-0.21930364099703417,0.9977,0.43262776680945264,0.996,0.17348201306685185,0.01876090343529785,-0.05042436006536678,9999
morphology~ecfp,ctl_scrambled,119,636,1024,0.04574441075554234,0.0505,0.01620395704795879,0.4239,0.4794536099503412,0.073,0.24914689832168496,0.014563266641751152,0.04546240591371081,9999
morphology~ecfp,ctl_scrambled,119,636,1024,-4.629560239683015e-05,0.4681,0.04080716211086705,0.3097,0.4656546997464774,0.3759,0.21311662060109865,0.006520184327360688,-0.0003558348411975115,9999
morphology~ecfp,ctl_scrambled,119,636,1024,0.012312416881549416,0.2949,-0.07624378762420063,0.8272,0.4604258137435831,0.5553,0.22284103584782383,0.010757987969791613,0.01180797023952612,9999
morphology~ecfp,ctl_scrambled,119,636,1024,0.0020414700318444226,0.4319,0.06829585869180273,0.1987,0.4668769033673121,0.3337,0.21475937262656866,-0.015318159238660398,0.0019075931627915413,9999
morphology~ecfp,ctl_scrambled,119,636,1024,0.03287170455039468,0.108,-0.03793459221169255,0.6671,0.4690517612085507,0.2605,0.2390180486821648,0.016868505817265192,0.033304794326814637,9999
morphology~ecfp,ctl_scrambled,119,636,1024,0.011471805816561579,0.2921,0.07524280609161539,0.1765,0.46992566554330517,0.2453,0.2221796035936508,0.0058041371718647854,0.01177857478595002,9999
morphology~ecfp,ctl_scrambled,119,636,1024,0.008666237619560603,0.3304,0.034895470014436665,0.3291,0.4662785841876744,0.3461,0.21997205080964652,0.015363284350011115,0.008980737333422032,9999
morphology~ecfp,ctl_scrambled,119,636,1024,-0.01190050951243447,0.6486,-0.03735210214343023,0.6723,0.45821553544347526,0.6169,0.20378916851946371,0.0146749579874739,-0.011674848015995302,9999
morphology~ecfp,ctl_scrambled,119,636,1024,-0.0293922337581127,0.886,-0.12129855456684992,0.9337,0.4454263789927409,0.9287,0.19002585861423377,0.0024304206234822957,-0.0293772262459576,9999
morphology~ecfp,ctl_scrambled,119,636,1024,0.07689517684952171,0.0054,0.022286775360678114,0.378,0.48780735932830205,0.0146,0.2736577836703777,0.012781394969897868,0.0775569334365528,9999
morphology~ecfp,ctl_scrambled,119,636,1024,-0.00242659315803618,0.5026,-0.039316868586252114,0.6836,0.4615681423463802,0.5117,0.2112436907249591,0.00780567319078745,-0.002717323290800583,9999
morphology~ecfp,ctl_random,119,636,1024,-0.0026334196040986016,0.7077,-0.09477514594618423,0.9502,0.4687256217461242,0.8122,0.22984283561492436,0.00902449379871806,-0.002665978876091438,9999
morphology~ecfp,ctl_random,119,636,1024,0.009820159262074642,0.0226,0.05877956389807336,0.1621,0.47319643357651503,0.0558,0.2396170886714221,0.029477954349827744,0.009775621208686943,9999
morphology~ecfp,ctl_random,119,636,1024,0.0020736581733711923,0.325,0.001196730170163047,0.4914,0.47050373031112036,0.4659,0.23362838608508069,0.007374338289830122,0.0021045283454850555,9999
morphology~ecfp,ctl_random,119,636,1024,-0.0019601289650356393,0.6494,0.019822681689118833,0.3833,0.47051672532102984,0.4855,0.23092217434072873,-0.006575904221112892,-0.0019890101485902523,9999
morphology~ecfp,ctl_random,119,636,1024,-0.0027083431102472044,0.7083,0.08773719037510402,0.0677,0.46889220925693265,0.7845,0.22987787975075058,-0.01086225478130565,-0.0027018918409659433,9999
morphology~ecfp,ctl_random,119,636,1024,0.004597987858107267,0.1674,-0.01770086222442625,0.6198,0.4712134618995522,0.3181,0.2357647981915872,0.026120386773654653,0.004566272569424099,9999
morphology~ecfp,ctl_random,119,636,1024,-0.0011760140789493835,0.5979,-0.06907483404818514,0.8849,0.46940068006107943,0.7395,0.23163285939557177,0.006915045631810918,-0.001241930856459697,9999
morphology~ecfp,ctl_random,119,636,1024,-0.0007913818203096519,0.5745,0.045033205889287595,0.2177,0.4714012202708793,0.2752,0.23143559471122072,-0.002754633251821257,-0.000850701979317584,9999
morphology~ecfp,ctl_random,119,636,1024,-0.00019914366065349097,0.5075,-0.00013092266173523682,0.5012,0.47038934332650545,0.4845,0.23198075239930616,0.014613054608759446,-0.00010465707637237735,9999
morphology~ecfp,ctl_random,119,636,1024,-0.008747631826583417,0.965,0.003124748755955392,0.4794,0.46780830115227773,0.9338,0.22585996691738297,-0.015397908369858368,-0.008725294987329577,9999
morphology~ecfp,ctl_random,119,636,1024,-0.0021358227022219172,0.6698,0.0027693066172614707,0.4854,0.46923793752768167,0.7412,0.2305520035695756,-0.0013018098095513803,-0.0022041664109866844,9999
morphology~ecfp,ctl_random,119,636,1024,-0.0025095538319752572,0.6939,-0.018336012543421643,0.628,0.46897485865384686,0.7801,0.23012716630083135,0.002988491064760637,-0.002471474536412779,9999
morphology~ecfp,ctl_random,119,636,1024,-0.002733647593325685,0.7246,-0.019776699314588066,0.642,0.4689617890627649,0.7927,0.23005660978328366,0.001876653071789388,-0.0028154808446653485,9999
morphology~ecfp,ctl_random,119,636,1024,0.006163674913557648,0.1278,0.07298952844943751,0.1278,0.4730971280261722,0.0806,0.2367168563310286,0.016854368329672298,0.0061435826857130305,9999
morphology~ecfp,ctl_random,119,636,1024,-0.004233332233332067,0.8167,-0.03033844934846572,0.6995,0.4688298942017548,0.8277,0.2292302429758893,0.009686364026912886,-0.004342405423490236,9999
morphology~ecfp,ctl_random,119,636,1024,-0.008569364127694887,0.9593,-0.05876640220728434,0.8397,0.46686835665071197,0.9737,0.22567292469027903,-0.00773727335988144,-0.008632463059964325,9999
morphology~ecfp,ctl_random,119,636,1024,-0.0027553730844829456,0.7073,-0.07373908063925734,0.8826,0.4685692115506115,0.8407,0.23026168647130651,-0.00011990791102442565,-0.002788805190552568,9999
morphology~ecfp,ctl_random,119,636,1024,-0.0014408955721227313,0.6074,-0.025217758222219628,0.6515,0.46935746331022005,0.7034,0.2312187165900575,-0.00425935973246333,-0.0014448425563423962,9999
morphology~ecfp,ctl_random,119,636,1024,-0.0003735507881711301,0.5266,-0.005907995252124641,0.5424,0.47033892889894036,0.5342,0.23235067913771226,-9.458865452061816e-05,-0.00037544420509778484,9999
morphology~ecfp,ctl_random,119,636,1024,-0.0027503738602276057,0.7036,0.00545807839216704,0.4622,0.4695958402480092,0.6543,0.23006229547918772,0.006117616008470607,-0.0026772008966150437,9999
expression~ecfp,observed,119,41780,1024,0.03504843832650436,0.0001,0.09414211504908936,0.0333,0.8310858476396609,0.0001,0.2779406097092311,0.05954973392137608,0.03504695821402017,9999
expression~ecfp,ctl_scrambled,119,41780,1024,0.006952493443696211,0.1587,-0.019870261526721934,0.6461,0.8190144557788462,0.7497,0.2569168178035107,0.02179735266704571,0.007044264590320046,9999
expression~ecfp,ctl_scrambled,119,41780,1024,-0.0024230243204851594,0.6244,-0.013160398061973595,0.5986,0.8205022457242962,0.5131,0.2499012525571842,0.0024909158204372947,-0.002438355440302576,9999
expression~ecfp,ctl_scrambled,119,41780,1024,0.002898813663285009,0.3344,0.017226984874625827,0.368,0.8222133313228467,0.2501,0.2538835074624181,0.013944307161812816,0.0028600706056769736,9999
expression~ecfp,ctl_scrambled,119,41780,1024,-0.006476872916380223,0.8207,-0.049626853197457244,0.8318,0.8172630212065003,0.9242,0.2468678158938903,-0.002128454910570744,-0.006445257695477933,9999
expression~ecfp,ctl_scrambled,119,41780,1024,-0.0010653609863800777,0.5505,-0.06066406334309545,0.8863,0.8198979292540683,0.6157,0.2509171725247563,0.012889126479038055,-0.0011109153151790804,9999
expression~ecfp,ctl_scrambled,119,41780,1024,0.003614776685970663,0.2956,0.011204892140978782,0.4027,0.8214605755328582,0.3515,0.25441925230616397,0.013517405801670913,0.0036292226396273087,9999
expression~ecfp,ctl_scrambled,119,41780,1024,-0.005176516249659686,0.7694,0.012730475997496353,0.3942,0.819898427169708,0.6235,0.2478408541055747,-0.006175211594168062,-0.00523674110147687,9999
expression~ecfp,ctl_scrambled,119,41780,1024,-0.008078756134232428,0.8828,-0.028721824763264667,0.7146,0.8201350603469985,0.5915,0.2456691496959794,-0.0025812781334817038,-0.008286635898071692,9999
expression~ecfp,ctl_scrambled,119,41780,1024,-0.006582400171978882,0.8237,-0.0020658705682245143,0.5113,0.8219289114634397,0.2914,0.24678885136461956,-0.0020093254965283724,-0.006529461976570078,9999
expression~ecfp,ctl_scrambled,119,41780,1024,0.0006048411942031456,0.4521,0.03415137710343803,0.2455,0.8212183406827451,0.3955,0.25216696082095097,0.0006532496743486648,0.0006619848237071975,9999
expression~ecfp,ctl_scrambled,119,41780,1024,-0.0018822661356759072,0.5927,0.03369627296990749,0.2513,0.8229107402300817,0.163,0.25030589413788795,0.001965419451161936,-0.001825366042069901,9999
expression~ecfp,ctl_scrambled,119,41780,1024,0.012114562116716701,0.0489,0.019858617032319507,0.3494,0.8239997597328951,0.0825,0.2607795196288915,0.02726957162293943,0.011919213248243875,9999
expression~ecfp,ctl_scrambled,119,41780,1024,-0.004070515856933436,0.7107,0.021188561018686134,0.3338,0.8184539687580586,0.8257,0.24866845830971548,-0.01191539477476785,-0.004043027124016278,9999
expression~ecfp,ctl_scrambled,119,41780,1024,0.006143539942188677,0.1865,-0.014273333868890688,0.6059,0.8209975324883846,0.4349,0.2563114895204422,0.024472375502484538,0.006170510052234706,9999
