target,block,model,score_mean_base,score_mean_tuned,d_score,permuted_score_base,permuted_score_tuned,d_permuted,gap_vs_permuted_base,gap_vs_permuted_tuned,d_gap,verdict
tox_infertility,morphology+ecfp,sparse_plsda,0.5266111111111111,0.5075,-0.01911111111111119,0.4175,0.4342777777777777,0.016777777777777725,0.1091111111111111,0.0732222222222222,-0.0358888888888889,degraded
tox_renal_toxicity,morphology,xgboost,0.4384444444444444,0.4481666666666666,0.009722222222222188,0.4376666666666666,0.4847222222222222,0.04705555555555563,0.0007777777777778,-0.0365555555555556,-0.0373333333333334,degraded
tox_pulmonary_toxicity,morphology,sparse_plsda,0.5292777777777777,0.5276111111111111,-0.0016666666666665941,0.4273888888888889,0.4633888888888889,0.03600000000000003,0.1018888888888888,0.0642222222222222,-0.03766666666666661,degraded
tox_liver_toxicity,morphology+expression,elastic_net,0.7029393939393939,0.6753939393939393,-0.02754545454545454,0.4679090909090909,0.4822424242424242,0.014333333333333309,0.2350303030303029,0.1931515151515151,-0.04187878787878779,degraded
tox_pulmonary_toxicity,ecfp,xgboost,0.6583888888888889,0.6163333333333333,-0.042055555555555624,0.5626111111111111,0.5627777777777778,0.00016666666666675933,0.0957777777777778,0.0535555555555554,-0.0422222222222224,degraded
moa-fine,morphology+ecfp,sparse_plsda,0.7133333333333333,0.6926666666666667,-0.02066666666666661,0.4793333333333334,0.5033333333333333,0.02399999999999991,0.2339999999999998,0.1893333333333333,-0.044666666666666494,degraded
tox_renal_toxicity,morphology+expression,elastic_net,0.65,0.6106666666666667,-0.03933333333333333,0.4873888888888888,0.4995,0.012111111111111184,0.1626111111111112,0.1111666666666666,-0.05144444444444461,degraded
tox_pulmonary_toxicity,expression,xgboost,0.4788888888888889,0.4325,-0.046388888888888924,0.4868888888888889,0.4953333333333333,0.008444444444444366,-0.008,-0.0628333333333333,-0.054833333333333296,degraded
tox_cardiotoxicity,morphology+ecfp,xgboost,0.474047619047619,0.4272619047619047,-0.04678571428571432,0.4802380952380952,0.4884523809523809,0.00821428571428573,-0.0061904761904761,-0.0611904761904762,-0.0550000000000001,degraded
tox_cardiotoxicity,morphology+ecfp,sparse_plsda,0.3988095238095238,0.4004761904761904,0.0016666666666665941,0.3777380952380952,0.4385714285714286,0.060833333333333406,0.0210714285714285,-0.0380952380952382,-0.0591666666666667,degraded
tox_cardiotoxicity,ecfp,xgboost,0.5163095238095238,0.4820238095238094,-0.034285714285714364,0.4914285714285713,0.5175,0.026071428571428634,0.0248809523809524,-0.0354761904761905,-0.0603571428571429,degraded
tox_liver_toxicity,morphology,sparse_plsda,0.5082424242424242,0.4629090909090909,-0.04533333333333328,0.433,0.4506969696969696,0.0176969696969696,0.0752424242424241,0.0122121212121212,-0.0630303030303029,degraded
tox_renal_toxicity,morphology,linear_svm,0.4659999999999999,0.4012222222222222,-0.06477777777777771,0.4473888888888889,0.4473333333333332,-5.555555555569747e-05,0.018611111111111,-0.0461111111111109,-0.0647222222222219,degraded
tox_liver_toxicity,morphology+ecfp,sparse_plsda,0.6083939393939394,0.5701515151515152,-0.03824242424242419,0.4235757575757575,0.4601515151515151,0.036575757575757595,0.1848181818181818,0.1100000000000001,-0.0748181818181817,degraded
tox_renal_toxicity,morphology+ecfp,xgboost,0.4941666666666667,0.4481111111111111,-0.04605555555555557,0.4375555555555556,0.4796111111111111,0.04205555555555551,0.0566111111111111,-0.0314999999999999,-0.088111111111111,degraded
