gene,highly_variable
LRRC40,False
ISOC1,False
EML1,False
TRMT11,False
THUMPD1,False
MSANTD3,False
KIF26A,False
ATG2B,False
ARFGEF1,False
ACSM2B,True
ZFAT,False
MTFR1,False
STAG3,False
FECH,False
MYO9A,False
DDX3Y,False
PFKP,False
IDI1,False
SP100,True
KLF6,False
PLPP1,False
NEO1,False
TRAM1,False
PHKA1,False
TNFRSF1A,False
CACNB1,False
EVI5,False
STOML1,True
PKM,False
DHX29,False
DNTTIP2,True
METTL22,False
TP53BP1,False
TRO,True
RRP15,False
RHOA,False
DHX8,False
PMS2P4,False
PRKCZ,False
ZFY,False
IARS2,False
SYT1,False
NAV3,True
IDH3G,False
ROGDI,False
PDZD4,False
ATP2B3,False
ROCK1,False
CBFB,False
PDK3,False
HYAL2,False
HDAC4,True
RASSF1,False
FGFR3,False
IFI35,True
HEATR6,False
COASY,False
PLEKHH3,False
MEF2A,False
OTUD5,False
TFE3,False
TBC1D25,False
ACSL4,False
INPP5A,False
GPKOW,False
GRIPAP1,False
FTSJ1,False
PRR11,True
REEP1,False
ATP11A,False
POLR1A,True
LAPTM4A,False
TTC7A,False
IP6K2,False
STON1-GTF2A1L,False
SRBD1,False
KIF2A,False
RASGRP2,True
PSME4,False
IFT80,False
SIRT2,False
ERLEC1,False
PPP2R5B,False
PYGM,True
PAGE1,False
PITX1,False
TRPC7,False
MAST4,True
ADGRF5,False
SDK2,False
ADAM7,False
NUP133,False
NUCKS1,False
VPS35,False
DNAJA2,False
BCL3,True
KCNAB2,False
ABCC9,False
GAL,False
CLEC2D,False
FUNDC1,False
MAOB,False
RORA,False
DRD4,False
TGFBR3,False
PLA2G10,False
HES2,False
ATP1B3,False
NEDD4,False
PIGB,False
MAPK6,False
GNB5,False
RAB27A,False
HDHD5,False
UFD1,True
LRP6,False
GUCY2C,True
SCT,False
PHRF1,False
ELP1,False
NUCB2,False
PFN2,True
PTPN3,False
SPTB,False
DAPP1,False
FGF10,False
SLC44A1,False
TMEM260,False
SMG6,False
EXOC5,False
CLTCL1,False
FGF22,False
FSTL3,True
DGCR2,False
RNF126,False
MNT,False
ZXDC,False
JMJD6,False
POLB,False
ST6GALNAC1,True
WIPI1,False
FRMPD1,False
GBA2,False
NDST1,False
ASNS,True
AP3M2,False
CNGB1,False
ST6GALNAC2,False
CHAT,False
PABPC1,False
TESK2,False
CFAP20,False
CSNK2A2,False
PTPN21,False
EIF2B3,True
