model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,target,block,chance,degenerate,permuted_score,gap_vs_permuted
elastic_net,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.709,0.1170235234920956,25,False,0,293.0,tox_liver_toxicity,expression,0.5,False,0.4955454545454544,0.21345454545454556
sparse_plsda,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6403333333333333,0.1034677167593186,25,False,0,0.1,tox_liver_toxicity,ecfp,0.5,False,0.440030303030303,0.20030303030303032
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.6714545454545454,0.0992410871989507,25,False,0,5.1,tox_liver_toxicity,ecfp,0.5,False,0.477060606060606,0.1943939393939394
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.6818484848484849,0.1170219854866426,25,False,0,5.1,tox_liver_toxicity,morphology+expression,0.5,False,0.4916060606060606,0.19024242424242432
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.6083939393939394,0.0946674911693424,25,False,0,0.1,tox_liver_toxicity,morphology+ecfp,0.5,False,0.4235757575757575,0.18481818181818188
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.6530606060606061,0.0954135265401712,25,False,0,7.7,tox_liver_toxicity,morphology+ecfp,0.5,False,0.4755757575757576,0.17748484848484852
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.6195454545454545,0.0901378904906922,25,False,0,0.1,tox_liver_toxicity,morphology+ecfp,0.5,False,0.465121212121212,0.15442424242424252
sparse_plsda,70,636,classification,stratified_5fold_x5,balanced_accuracy,0.5082424242424242,0.1534607387806648,25,False,0,0.1,tox_liver_toxicity,morphology,0.5,False,0.433,0.07524242424242417
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5895757575757574,0.1079367141041776,25,False,0,4.3,tox_liver_toxicity,expression,0.5,False,0.5238787878787879,0.06569696969696948
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5895757575757574,0.1079367141041776,25,False,0,4.3,tox_liver_toxicity,morphology+expression,0.5,False,0.5238787878787879,0.06569696969696948
xgboost,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5,0.0,25,False,0,0.2,tox_liver_toxicity,ecfp,0.5,True,0.5,0.0
