model,n,n_features,kind,cv_scheme,scoring,score_mean,score_std,n_folds,permuted,n_trials,seconds,target,block,chance,degenerate
sparse_plsda,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5390555555555555,0.100521264871459,25,True,0,3.7,tox_renal_toxicity,expression,0.5,
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.6202222222222222,0.0981763341778078,25,False,0,3.8,tox_renal_toxicity,expression,0.5,False
linear_svm,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5013888888888889,0.1272404159722457,25,True,0,3.9,tox_renal_toxicity,expression,0.5,
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5297222222222223,0.0890129342800011,25,False,0,59.2,tox_renal_toxicity,expression,0.5,False
xgboost,70,41780,classification,stratified_5fold_x5,balanced_accuracy,0.5066666666666666,0.092911580163051,25,True,0,64.6,tox_renal_toxicity,expression,0.5,
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.65,0.1035667912359632,25,False,0,302.9,tox_renal_toxicity,morphology+expression,0.5,False
elastic_net,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.4873888888888888,0.1216266550139258,25,True,0,299.2,tox_renal_toxicity,morphology+expression,0.5,
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5129444444444444,0.1119349458335752,25,False,0,5.8,tox_renal_toxicity,morphology+expression,0.5,False
sparse_plsda,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5442222222222222,0.1049468413349007,25,True,0,4.2,tox_renal_toxicity,morphology+expression,0.5,
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.623,0.0984369197023851,25,False,0,5.3,tox_renal_toxicity,morphology+expression,0.5,False
linear_svm,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5002777777777777,0.0917499621556083,25,True,0,4.7,tox_renal_toxicity,morphology+expression,0.5,
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5218888888888888,0.084010471128659,25,False,0,65.5,tox_renal_toxicity,morphology+expression,0.5,False
xgboost,70,42416,classification,stratified_5fold_x5,balanced_accuracy,0.5058888888888889,0.0855945798445522,25,True,0,48.0,tox_renal_toxicity,morphology+expression,0.5,
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.6324444444444445,0.1191403622872027,25,False,0,8.5,tox_renal_toxicity,morphology+ecfp,0.5,False
elastic_net,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5702222222222222,0.1070833009079069,25,True,0,6.7,tox_renal_toxicity,morphology+ecfp,0.5,
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.6367222222222223,0.0958217223239897,25,False,0,0.1,tox_renal_toxicity,morphology+ecfp,0.5,False
sparse_plsda,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5294444444444444,0.1018645614965719,25,True,0,0.1,tox_renal_toxicity,morphology+ecfp,0.5,
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5443888888888889,0.0975347991079954,25,False,0,0.1,tox_renal_toxicity,morphology+ecfp,0.5,False
linear_svm,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.5530555555555555,0.104969131264951,25,True,0,0.2,tox_renal_toxicity,morphology+ecfp,0.5,
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4941666666666667,0.0829044519199551,25,False,0,0.4,tox_renal_toxicity,morphology+ecfp,0.5,False
xgboost,70,1660,classification,stratified_5fold_x5,balanced_accuracy,0.4375555555555556,0.0860057419845965,25,True,0,0.4,tox_renal_toxicity,morphology+ecfp,0.5,
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.5413333333333333,0.1092964876938972,25,False,0,4.7,tox_infertility,ecfp,0.5,False
elastic_net,70,1024,classification,stratified_5fold_x5,balanced_accuracy,0.4561111111111111,0.0729514467316921,25,True,0,3.1,tox_infertility,ecfp,0.5,
